parameters,ess,rhat
ρ₁,1919.731658463891,1.0016590410822583
ρ₂,1851.2748785089375,0.9995977381474354
a₁,2714.7210740975283,1.0024029262703866
a₂,2406.53673300761,1.0013215785134504
a₃,2372.7996932170295,1.0019858069157896
β,1541.0175584903795,0.9996287376877698
η,2725.540734657792,0.9993727178049762
δ₃,3020.775520092815,1.0000225298756835
δ₄,1983.6226918636683,0.9993681769896292
ω,1321.7906075700648,1.0003397926336959
ξ,3965.398534796872,1.0000124560554933
