"groupno","qmean","qmin"
1,0.00024608919641266,0.000201295432571255
2,8.27572207190386e-05,5.37099843077204e-05
3,1.54414435106568e-05,8.27788724282634e-06
4,1.29341151670051e-05,5.33365573897118e-06
5,2.95858880298885e-05,1.77878345210373e-05
