time,agegrp,sim_low95,sim_median,sim_up95
4,1,0.10648740666684806,0.12669344611273015,0.15178050580536842
4,2,0.025458458800641556,0.031515043132995246,0.03956903201885154
4,3,0.0036537394372052976,0.0048426519912868,0.006545031416005719
4,4,0.005678613867577527,0.007496387112683288,0.010079332957944775
4,5,0.021816170262734757,0.02900031661963979,0.03891454932661741
11,1,0.08827446869812637,0.10685413052483117,0.12993756158660555
11,2,0.02089035835999324,0.026278580569470966,0.033541737771043356
11,3,0.0027481310378808877,0.0037303273015900475,0.005163241562302101
11,4,0.004284549252504631,0.005791157739245744,0.007964237583697993
11,5,0.016228583253416647,0.022048566195423787,0.030269411960502302
18,1,0.07448825182716116,0.09154092741442199,0.11311145702795822
18,2,0.017431082099645997,0.022320514820092854,0.028928681373019054
18,3,0.0021264171041692668,0.002941963617527796,0.004155293517164072
18,4,0.003323184396712251,0.004580982945436145,0.006422995020411348
18,5,0.012384715030094714,0.01719228178159629,0.02415307329831276
25,1,0.06413545035467642,0.07986523861681397,0.10026140858285891
25,2,0.014876478887178524,0.019350665561284737,0.025486724837697358
25,3,0.0016890944213599358,0.0023856469598341856,0.003433472949536271
25,4,0.002648272591916193,0.0037220469907212716,0.005300180122464511
25,5,0.009748316230605073,0.013788160561686427,0.019746013384254125
32,1,0.05630382818274056,0.07118837011255968,0.09073279402237773
32,2,0.013005489770621386,0.017170573524731055,0.02296944766332326
32,3,0.0013849569936669535,0.001993007924214076,0.0029088421204694925
32,4,0.0021793839880067953,0.0031162777077342377,0.004520579066593684
32,5,0.007928498908287257,0.011398386283672839,0.01663523308685975
39,1,0.05070184515083161,0.06502201053975809,0.08382243140409142
39,2,0.011733021145295616,0.01566639781688177,0.0212319963764273
39,3,0.0011771601999837702,0.0017199583006027074,0.0025433410893103943
39,4,0.0018550598848519108,0.002696747690415081,0.003976846563751641
39,5,0.00666109795083764,0.00974292309489606,0.014435572023647121
46,1,0.0470210250719502,0.061020041348748236,0.07943071662534193
