quarter,agegrp,sim_low95,sim_median,sim_up95
1,1,5.6401156951725415,7.424134863725944,9.811065419134895
1,2,6.9189201536292,9.073506606245058,11.907121228555287
1,3,7.471497105998594,9.781159101868749,12.790201720338812
1,4,5.948560621282203,7.800882582944439,10.194743566767087
1,5,4.643160540691893,6.104026294075604,7.995241945282153
1,6,3.6084686156512173,4.754641701638674,6.252280036569064
1,7,2.821171848361672,3.7219534105316567,4.9103027152160115
1,8,2.2311759349094613,2.9519284674250446,3.896437750788407
1,9,1.8004103450114013,2.384702037946272,3.1488041827271767
1,10,1.4859796853867258,1.9687349775985938,2.6041892107861466
1,11,1.2545124493447328,1.662988605515439,2.199160822013427
1,12,1.08411877607983,1.4363534381133762,1.8970949872081382
1,13,35.37776767939106,43.185140579222434,52.0729208445409
1,14,10.380273452457741,13.042594509795244,16.3664212813784
1,15,0.5213149382794966,0.667591082237132,0.8591397612055381
1,16,0.18854161664537075,0.24874502208588337,0.32892633294039625
1,17,0.14098807540189584,0.19124604213083934,0.26096206020573315
1,18,0.06620373570893438,0.09164045393211942,0.12817337631125378
1,19,0.08885576128788583,0.12430305342899345,0.17537263377516013
1,20,0.09407384600480403,0.1259023237204857,0.17003634910980406
1,21,0.12995522753734787,0.1761168423736736,0.24106862668814896
1,22,0.2646088005907985,0.3610495467588354,0.4966865269054046
1,23,0.5215290824443002,0.7179262097728056,0.9892031592632116
1,24,0.7081787679481455,0.9882213885576354,1.37480146692528
1,25,2.158819362043569,2.937407402528823,3.983206377191211
2,1,216.34810136054008,240.36647249675278,267.7216484140549
2,2,230.9898846346152,256.0412173245036,284.644250342461
2,3,240.18527491789348,266.38583755153513,295.34643949936475
2,4,189.4797034470966,209.97231186635372,232.79759194361108
2,5,148.59148668108028,164.75994137843742,182.49238918237802
2,6,116.9817559113764,129.56130246876745,143.68216226116135
2,7,95.36842833070149,105.65300106063114,117.26543343388161
2,8,77.80581295776066,86.28003468757083,95.62382631452606
2,9,63.62401595478562,70.66360187629118,78.41009222182038
2,10,52.6742139100016,58.55121569360911,65.06610010068367
2,11,44.3132054005112,49.39778007803415,55.008079868577816
2,12,37.9973867674776,42.54764659191402,47.3679022115614
2,13,1161.0599307567734,1304.0503894497,1446.6192368059671
2,14,478.6440119214385,534.788358350902,592.176132059621
2,15,24.872312119553907,27.691970399379016,30.741985208829888
2,16,8.372927206239957,9.297064173707705,10.333532395587152
2,17,5.2010231505793305,5.823167550804646,6.537630455853826
2,18,2.155630378173737,2.4739409297507926,2.8667395812081127
2,19,2.75810214011408,3.2086376925152145,3.773105443805509
2,20,3.2489028949676406,3.64396070096593,4.090162372906486
2,21,4.189568527353539,4.742858420029165,5.3796552599554
2,22,8.276459741267045,9.408774611214524,10.736421837130138
2,23,15.722461478700982,17.927938937273527,20.490728872272598
2,24,19.764803608670253,22.7692057097618,26.36643191288033
2,25,67.38846002573894,75.8834023272299,85.5382764868262
3,1,2776.5151773334283,2965.097988110831,3170.4402760004527
3,2,3048.779796813076,3256.8388611180562,3472.690424434555
3,3,3181.1191717472966,3395.634763165389,3615.4502091467625
3,4,2500.0654640619555,2666.3450461194043,2837.9688126015267
3,5,1953.346161691229,2084.400538041621,2221.0784062623425
3,6,1532.6233738890712,1637.1530454078984,1746.5861569493807
3,7,1246.3238708085462,1333.067169586982,1422.8896222433127
3,8,1018.2835219369622,1089.0830183041874,1163.7017425635697
3,9,838.3501331838831,896.2368634315351,958.7372389390115
3,10,698.2058108439097,747.8269372614919,799.2174440458632
3,11,591.1158192190046,634.1735405375455,679.8153854443366
3,12,507.91604937713635,547.751211277521,588.9882645116478
3,13,3038.409347849323,3243.968756040686,3463.5704849914187
3,14,1462.8331475190173,1565.8638595262682,1680.8757915869444
3,15,159.01887115980443,170.32251082751839,182.44279550977674
3,16,95.15621935526106,102.12591468786304,109.21388869770614
3,17,88.2306594572034,94.3901600384905,100.63787622000879
3,18,47.934918827496965,51.24538881139773,54.775658861932044
3,19,70.0943503019564,75.07093231774758,80.31694062236643
3,20,46.05472275625101,49.2519842390852,52.65111719835416
3,21,77.6156747715164,82.97260470036682,88.69218686432185
3,22,169.86376053773898,181.7350240539512,194.27183281182073
3,23,367.0388846193434,393.46065977165676,420.59400718360445
3,24,560.6964831865097,601.570971762569,643.7000030731986
3,25,1396.4365246497255,1497.672226419498,1600.5312063024119
4,1,216.25124347353125,228.35022201376808,240.98084132680572
4,2,264.6843356602996,279.5314559162717,294.88501793280295
4,3,286.2056363084464,300.92144945968124,316.1698058436253
4,4,226.57397660741788,238.21990719719167,250.14123974695966
4,5,176.4152086660156,185.66543467347228,195.21373156029173
4,6,137.61738969914768,145.0008353796461,152.78414086288288
4,7,109.18203148262849,115.22203405862794,121.52841630769414
4,8,88.27972574425966,93.13197433777714,98.27474283431071
4,9,72.45176993918689,76.48286786439803,80.69950219501962
4,10,60.49438340507481,63.88965660394899,67.35696629556428
4,11,51.42912886937786,54.336147166979316,57.39885211555247
4,12,44.35058379837722,47.084207884693235,49.94176851786757
4,13,318.6587519283587,331.48686803279054,345.6132493020868
4,14,93.0966265543718,99.57808760533348,106.8708039179099
4,15,8.738352698683236,9.310174773615685,9.932596691791804
4,16,5.860378813126869,6.253363293296612,6.656049473101435
4,17,6.6637728877325495,7.070141645469773,7.48726299926696
4,18,4.07290659289245,4.304663655385182,4.53999741907552
4,19,6.360356295695526,6.702323768862405,7.054693056476281
