agegrp,sim_low95,sim_median,sim_up95
1,0.09387014231152231,0.09627771545258594,0.09858444783381443
2,0.10397942848499364,0.10629876596120152,0.10865591872234757
3,0.1086303934050143,0.11108870205336997,0.11363493123920688
4,0.08526054731322401,0.08732809801721855,0.08938272849885924
5,0.06634061487653309,0.0682313791234417,0.07008464321278661
6,0.051882570935172,0.05360946894734852,0.05533636695952504
7,0.04205028172387279,0.04355060315379476,0.04508842474128043
8,0.03421022777406628,0.03557157803184047,0.03699595376451162
9,0.02798331085424729,0.029256425447165745,0.0305295400400842
10,0.023218584952037612,0.024390858785120945,0.02558834280816306
11,0.01956310740801432,0.0206723557662007,0.021794209219366468
12,0.01676477632258959,0.01784881449081719,0.018996193261316227
13,0.1344207328602221,0.13771696519733279,0.14116477380157058
14,0.05983638586716751,0.06197925201366392,0.06408461800259665
15,0.00528153479636469,0.005810948785499099,0.006327757679654116
16,0.002899171845259854,0.003289929789620965,0.003705897923940857
17,0.00263446485069265,0.0030000126050949796,0.00339077054945609
18,0.0013487451627948017,0.0016260572523413965,0.0019159744368673819
19,0.0020420253866612883,0.0023823629511048367,0.0027353056105277754
20,0.0013235349728360204,0.001600847062382615,0.001903369341887991
21,0.0023067323812284925,0.0026596750406514312,0.0030378278900331512
22,0.005306744986323472,0.005823553880478489,0.006365572964592288
23,0.011785763805730275,0.01260509497939067,0.013437031248030454
24,0.018214362245219516,0.019222769843570773,0.02029420291681898
25,0.046285908764322536,0.048094739893865104,0.049966596498304615
