agegrp,sim_low95,sim_median,sim_up95
1,0.3701657458563536,0.39621152328334647,0.4238358326756117
2,0.16258879242304658,0.18389897395422258,0.2052091554853986
3,0.03946329913180742,0.050513022888713496,0.06393054459352802
4,0.05919494869771113,0.0734017363851618,0.08839779005524862
5,0.27071823204419887,0.2951854775059195,0.32046172059984224
